,A,B,anion,gllbsc_dir-gap,gllbsc_ind-gap,heat_of_formation_all,VB_dir,CB_dir,VB_ind,CB_ind,simple_score,complex_score,product_score
0,Ag,Ag,N3,0.0,0.0,2.24,5.96861869048,5.96861869048,5.96861869048,5.96861869048,5.0,5.02230875696,0.0118972283515
1,Ag,Ag,O2F,0.0,0.0,1.36,6.50371234473,6.50371234473,6.50371234473,6.50371234473,5.0,5.33957634036,0.254370701684
2,Ag,Ag,O2N,0.0,0.0,2.24,6.05310295455,6.05310295455,6.05310295455,6.05310295455,5.0,5.02008179725,0.0118919362659
3,Ag,Ag,O2S,0.0,0.0,1.34,5.86717788256,5.86717788256,5.86717788256,5.86717788256,5.0,5.37400739928,0.273040249648
4,Ag,Ag,O3,0.0,0.0,1.96,6.09579247911,6.09579247911,6.09579247911,6.09579247911,5.0,5.04558079509,0.0316386721565
5,Ag,Ag,OFN,0.0,0.0,1.54,6.45816611119,6.45816611119,6.45816611119,6.45816611119,5.0,5.18262077683,0.136561170139
6,Ag,Ag,ON2,0.0,0.0,2.46,6.01071238955,6.01071238955,6.01071238955,6.01071238955,5.0,5.01257804603,0.00550956610786
7,Ag,Al,N3,0.0,0.0,1.88,5.59368810328,5.59368810328,5.59368810328,5.59368810328,0.0,3.45687412849,0.0284368445019
8,Ag,Al,O2F,0.0,0.0,0.68,6.09516879138,6.09516879138,6.09516879138,6.09516879138,5.0,8.1453448445,2.35805112208
9,Ag,Al,O2N,0.0,0.0,1.4,5.67286532121,5.67286532121,5.67286532121,5.67286532121,0.0,4.61442381042,0.191424610116
10,Ag,Al,O2S,0.0,0.0,1.14,5.49861950033,5.49861950033,5.49861950033,5.49861950033,0.0,3.1780116036,0.265026045777
11,Ag,Al,O3,0.0,0.0,1.04,5.71287321886,5.71287321886,5.71287321886,5.71287321886,0.0,5.81345984402,0.724433343903
12,Ag,Al,OFN,0.0,0.0,1.08,6.05248363457,6.05248363457,6.05248363457,6.05248363457,5.0,5.88304876462,0.659657787429
13,Ag,Al,ON2,0.0,0.0,1.68,5.63313760339,5.63313760339,5.63313760339,5.63313760339,0.0,3.95878265118,0.0645868359464
14,Ag,As,N3,0.0,0.0,1.9,6.18375699239,6.18375699239,6.18375699239,6.18375699239,5.0,5.05418769462,0.0390032197115
15,Ag,As,O2F,0.0,0.0,0.74,6.73813804731,6.73813804731,6.73813804731,6.73813804731,5.0,7.62502740781,1.96872138428
16,Ag,As,O2N,0.0,0.0,1.38,6.27128648384,6.27128648384,6.27128648384,6.27128648384,5.0,5.31799070046,0.237492348061
17,Ag,As,O2S,0.0,0.0,0.92,6.07865976004,6.07865976004,6.07865976004,6.07865976004,5.0,6.49308987389,1.11785269062
18,Ag,As,O3,0.0,0.0,1.12,6.31551474832,6.31551474832,6.31551474832,6.31551474832,5.0,5.7695415631,0.576431392458
